time,datetime,CO2,T,solrad,Tout,occ,dpos,vpos,Hour,q
0,2018-07-24 00:00:00,414.6618208451704,301.0999998092651,32.833333333333336,6.399999618530273,0.0,0.0,0.0,0,500.0
3600,2018-07-24 01:00:00,415.15636652166194,300.9499992370605,32.833333333333336,6.399999618530273,0.0,0.0,0.0,1,500.0
7200,2018-07-24 02:00:00,460.7200012207031,299.5571427753993,32.833333333333336,5.399999618530273,0.0,0.0,0.0,2,500.0
10800,2018-07-24 03:00:00,482.480000813802,299.5571427753993,32.833333333333336,4.399999618530273,0.0,0.0,0.0,3,500.0
14400,2018-07-24 04:00:00,482.30400390625,299.5571427753993,38.0,7.399999618530273,0.0,0.0,0.0,4,500.0
18000,2018-07-24 05:00:00,482.2109069824219,298.9999994277954,120.67333221435548,11.399999618530273,0.0,0.0,0.0,5,500.0
21600,2018-07-24 06:00:00,482.1866658528645,299.4250000953674,180.60799865722657,13.899999618530273,0.0,0.0,0.0,6,500.0
25200,2018-07-24 07:00:00,482.6933339436848,299.80000057220457,339.14666239420575,15.650000095367432,0.0,0.0,0.0,7,500.0
28800,2018-07-24 08:00:00,478.6618180708452,299.9499992370605,498.8799947102864,19.150001525878906,0.0,0.0,0.0,8,500.0
32400,2018-07-24 09:00:00,477.7333323160808,300.0999998092651,595.3600056966146,21.900001525878906,1.0,0.0,0.0,9,500.0
36000,2018-07-24 10:00:00,478.3999989827473,300.2500003814697,646.6133219401041,23.06666819254557,1.0,0.0,0.0,10,500.0
39600,2018-07-24 11:00:00,474.77333068847656,300.4,650.752001953125,20.900001525878906,1.0,0.0,0.0,11,500.0
43200,2018-07-24 12:00:00,468.9600067138672,300.70000019073484,646.8799947102865,20.900001525878906,1.0,0.0,0.0,12,500.0
46800,2018-07-24 13:00:00,469.09333292643237,300.7500003814697,375.49333826700854,18.400001525878906,1.0,0.0,0.0,13,500.0
50400,2018-07-24 14:00:00,464.3466669718425,300.7899997711181,222.51999918619788,16.90000057220459,1.0,0.0,0.0,14,500.0
54000,2018-07-24 15:00:00,468.1066665649414,301.15,287.0079986572265,16.90000057220459,1.0,0.0,0.0,15,500.0
57600,2018-07-24 16:00:00,466.4799957275391,301.30000057220457,216.03999710083008,16.90000057220459,1.0,0.0,0.0,16,500.0
61200,2018-07-24 17:00:00,462.7490900213068,301.7499999046325,118.68666458129884,15.399999618530273,1.0,0.0,0.0,17,500.0
64800,2018-07-24 18:00:00,453.9839996337889,302.48333333333335,43.25,14.399999618530273,0.0,0.0,0.0,18,500.0
68400,2018-07-24 19:00:00,455.12727772105836,302.37000007629393,0.0,12.899999618530273,0.0,0.0,0.0,19,500.0
72000,2018-07-24 20:00:00,458.4888916015625,301.85,0.0,11.399999618530273,0.0,0.0,0.0,20,500.0
75600,2018-07-24 21:00:00,460.3199996948242,301.4999994277954,0.0,10.399999618530273,0.0,0.0,0.0,21,500.0
79200,2018-07-24 22:00:00,461.17333475748705,301.54999961853025,0.0,9.399999618530273,0.0,0.0,0.0,22,500.0
82800,2018-07-24 23:00:00,462.5600026448568,301.30000057220457,0.0,8.399999618530273,0.0,0.0,0.0,23,500.0
86400,2018-07-25 00:00:00,464.55999501546216,301.0999998092651,0.0,8.399999618530273,0.0,0.0,0.0,0,500.0
90000,2018-07-25 01:00:00,461.84727616743606,300.9499992370605,0.0,7.399999618530273,0.0,0.0,0.0,1,500.0
93600,2018-07-25 02:00:00,470.431997680664,299.56481477242926,0.0,6.399999618530273,0.0,0.0,0.0,2,500.0
97200,2018-07-25 03:00:00,512.727275501598,298.7961538901696,0.0,6.399999618530273,0.0,0.0,0.0,3,500.0
100800,2018-07-25 04:00:00,529.0133412679037,299.82999992370605,39.2,8.899999618530273,0.0,0.0,0.0,4,500.0
104400,2018-07-25 05:00:00,530.9963711825284,299.98333269755045,109.51000022888184,13.399999618530273,0.0,0.0,0.0,5,500.0
108000,2018-07-25 06:00:00,523.9563654119319,300.23000030517574,203.03999633789059,18.40000114440918,0.0,0.0,0.0,6,500.0
111600,2018-07-25 07:00:00,526.8654507723721,300.0749997138977,321.3333282470703,21.900001525878906,0.0,0.0,0.0,7,500.0
115200,2018-07-25 08:00:00,523.374550559304,300.2500003814697,489.49332682291674,23.233334859212235,0.0,0.0,0.0,8,500.0
118800,2018-07-25 09:00:00,520.5333302815757,300.4499992370605,583.1999969482423,24.60000152587891,1.0,0.0,0.0,9,500.0
122400,2018-07-25 10:00:00,514.053342183431,300.54999961853025,623.1466674804688,25.233334859212242,1.0,0.0,0.0,10,500.0
126000,2018-07-25 11:00:00,507.33333841959643,300.95000019073484,587.2799987792969,24.000001525878908,1.0,0.0,0.0,11,500.0
129600,2018-07-25 12:00:00,502.2666676839192,301.48333333333335,229.84000142415368,19.900001525878906,1.0,0.0,0.0,12,500.0
133200,2018-07-25 13:00:00,497.86667124430335,301.9,318.7199948628744,19.900001525878906,1.0,0.0,0.0,13,500.0
136800,2018-07-25 14:00:00,494.1600036621094,302.3499998092651,152.1666653951009,17.400001525878906,1.0,0.0,0.0,14,500.0
140400,2018-07-25 15:00:00,490.79273015802556,302.65,236.33332570393884,18.400001525878906,1.0,0.0,0.0,15,500.0
144000,2018-07-25 16:00:00,486.3679992675781,302.9,148.52666600545246,18.400001525878906,1.0,0.0,0.0,16,500.0
147600,2018-07-25 17:00:00,482.87999979654955,303.04999961853025,91.01599884033205,17.400001525878906,1.0,0.0,0.0,17,500.0
151200,2018-07-25 18:00:00,482.0533320109049,302.80000057220457,28.0,16.399999618530273,0.0,0.0,0.0,18,500.0
154800,2018-07-25 19:00:00,483.0545460094105,302.54999961853025,0.0,14.899999618530273,0.0,0.0,0.0,19,500.0
