time;solrad;occ;Tout
0;32.83333333;0;6.399999619
3600;32.83333333;0;6.399999619
7200;32.83333333;0;5.399999619
10800;32.83333333;0;4.399999619
14400;38;0;7.399999619
18000;120.6733322;0;11.39999962
21600;180.6079987;0;13.89999962
25200;339.1466624;0;15.6500001
28800;498.8799947;0;19.15000153
32400;595.3600057;1;21.90000153
36000;646.6133219;1;23.06666819
39600;650.752002;1;20.90000153
43200;646.8799947;1;20.90000153
46800;375.4933383;1;18.40000153
50400;222.5199992;1;16.90000057
54000;287.0079987;1;16.90000057
57600;216.0399971;1;16.90000057
61200;118.6866646;1;15.39999962
64800;43.25;0;14.39999962
68400;0;0;12.89999962
72000;0;0;11.39999962
75600;0;0;10.39999962
79200;0;0;9.399999619
82800;0;0;8.399999619
86400;0;0;8.399999619
90000;0;0;7.399999619
93600;0;0;6.399999619
97200;0;0;6.399999619
100800;39.2;0;8.899999619
104400;109.5100002;0;13.39999962
108000;203.0399963;0;18.40000114
111600;321.3333282;0;21.90000153
115200;489.4933268;0;23.23333486
118800;583.1999969;1;24.60000153
122400;623.1466675;1;25.23333486
126000;587.2799988;1;24.00000153
129600;229.8400014;1;19.90000153
133200;318.7199949;1;19.90000153
136800;152.1666654;1;17.40000153
140400;236.3333257;1;18.40000153
144000;148.526666;1;18.40000153
147600;91.01599884;1;17.40000153
151200;28;0;16.39999962
154800;0;0;14.89999962
158400;0;0;12.39999962
162000;0;0;10.39999962
165600;0;0;9.399999619
169200;0;0;8.399999619
172800;0;0;8.399999619
