time;solrad;Tout;occ
0;0;7.399999619;0
900;0;7.399999619;0
1800;0;7.399999619;0
2700;0;6.399999619;0
3600;0;6.399999619;0
4500;0;6.399999619;0
5400;0;6.399999619;0
6300;0;6.399999619;0
7200;0;5.399999619;0
8100;0;5.399999619;0
9000;0;5.399999619;0
9900;0;5.399999619;0
10800;0;5.399999619;0
11700;0;4.399999619;0
12600;0;4.399999619;0
13500;0;4.399999619;0
14400;17;5.399999619;0
15300;28;6.399999619;0
16200;45;7.899999619;0
17100;62;9.399999619;0
18000;81.5;9.399999619;0
18900;112;10.89999962;0
19800;140.5199966;10.89999962;0
20700;168;12.39999962;0
21600;123.5199966;12.39999962;0
22500;163.0399933;12.39999962;0
23400;252;13.39999962;0
24300;240.9600067;14.39999962;0
25200;282.9599915;14.39999962;0
26100;324.9599915;14.89999962;0
27000;369.9199982;16.39999962;0
27900;404.1600037;17.90000153;0
28800;457.1199951;17.73333486;0
29700;493.1199951;19.40000153;0
30600;524;19.40000153;0
31500;537.9199829;20.90000153;0
32400;574.5599976;21.90000153;30
33300;589.1199951;21.90000153;30
34200;611.5200195;21.90000153;30
35100;610.8800049;21.90000153;30
36000;636.4799805;23.40000153;30
36900;628.1599731;23.40000153;30
37800;655.8399963;22.40000153;30
38700;666.8800049;23.40000153;30
39600;661.7600098;22.40000153;30
40500;645.1199951;21.40000153;30
41400;633.9200134;20.40000153;30
42300;679.039978;19.40000153;30
43200;664.6400146;19.40000153;30
44100;633.9199829;19.40000153;30
45000;642.0799866;19.40000153;30
45900;633.9199829;19.40000153;30
46800;605.4400024;19.40000153;30
47700;622.0800171;19.40000153;30
48600;162.4800034;18.40000153;30
49500;95.04000092;18.40000153;30
50400;384;17.40000153;30
51300;112;16.39999962;30
52200;104.0400009;16.39999962;30
53100;247.0399933;16.39999962;30
54000;289.0400009;16.39999962;30
54900;224;16.39999962;30
55800;316.4799957;16.39999962;30
56700;316.4799957;16.39999962;30
57600;249.5199966;16.39999962;30
58500;249.5199966;16.39999962;30
59400;191.0399933;16.39999962;30
60300;174.0800018;16.39999962;30
61200;154.0399933;16.39999962;30
62100;118;16.39999962;30
63000;103.5200005;16.39999962;30
63900;79;15.39999962;30
64800;61.5;15.39999962;0
65700;61.5;14.39999962;0
66600;25;14.39999962;0
67500;25;14.39999962;0
68400;0;13.39999962;0
69300;0;13.39999962;0
70200;0;13.39999962;0
71100;0;12.39999962;0
72000;0;12.39999962;0
72900;0;12.39999962;0
73800;0;11.39999962;0
74700;0;11.39999962;0
75600;0;10.39999962;0
76500;0;10.39999962;0
77400;0;10.39999962;0
78300;0;10.39999962;0
79200;0;10.39999962;0
80100;0;9.399999619;0
81000;0;9.399999619;0
81900;0;9.399999619;0
82800;0;8.399999619;0
83700;0;8.399999619;0
84600;0;8.399999619;0
85500;0;8.399999619;0
86400;0;8.399999619;0
87300;0;8.399999619;0
88200;0;8.399999619;0
89100;0;8.399999619;0
90000;0;7.399999619;0
90900;0;7.399999619;0
91800;0;7.399999619;0
92700;0;7.399999619;0
93600;0;7.399999619;0
94500;0;7.399999619;0
95400;0;7.399999619;0
96300;0;6.399999619;0
97200;0;6.399999619;0
98100;0;6.399999619;0
99000;0;6.399999619;0
99900;0;6.399999619;0
100800;16.5;7.399999619;0
101700;16.5;8.399999619;0
102600;50.5;9.399999619;0
103500;62;10.39999962;0
104400;84.5;11.39999962;0
105300;84.5;12.39999962;0
106200;123.0400009;13.89999962;0
107100;146;15.39999962;0
108000;163.0399933;16.39999962;0
108900;174.0800018;17.90000153;0
109800;215.5199966;19.40000153;0
110700;247.0399933;20.40000153;0
111600;274.4799957;21.40000153;0
112500;296.9599915;21.40000153;0
113400;338.9599915;22.40000153;0
114300;404.1600037;22.40000153;0
115200;451.0399933;23.40000153;0
116100;481.9200134;23.90000153;0
117000;507.519989;23.90000153;0
117900;537.9199829;22.73333486;0
118800;554.8800049;23.90000153;30
119700;554.8800049;23.90000153;30
120600;583.519989;24.90000153;30
121500;610.8800049;25.40000153;30
122400;608;24.40000153;30
123300;616.960022;24.90000153;30
124200;636;25.40000153;30
125100;633.9199829;25.90000153;30
126000;662.0799866;24.90000153;30
126900;684.1599731;24.40000153;30
127800;482.6400146;22.90000153;30
128700;550.0800171;22.90000153;30
129600;249.5200043;21.40000153;30
130500;442.8800049;20.40000153;30
131400;165.0399971;19.40000153;30
132300;107.0400009;18.40000153;30
133200;373.1199875;18.40000153;30
134100;123.0400009;18.40000153;30
135000;415.0399933;18.40000153;30
135900;212.9600067;18.40000153;30
136800;195.9999962;18.40000153;30
137700;140;18.40000153;30
138600;154;18.40000153;30
139500;73;17.40000153;30
140400;213.0399933;17.40000153;30
141300;268.9599915;17.40000153;30
142200;282.9599915;18.40000153;30
143100;157.0399933;18.40000153;30
144000;190.5599976;18.40000153;30
144900;196;18.40000153;30
145800;106.5;18.40000153;30
146700;101.0400009;18.40000153;30
147600;98.01999664;18.40000153;30
148500;107.0400009;18.40000153;30
149400;76;18.40000153;30
150300;76;17.40000153;30
151200;47.5;17.40000153;0
152100;22;17.40000153;0
153000;17;16.39999962;0
153900;6;16.39999962;0
154800;0;15.39999962;0
155700;0;15.39999962;0
156600;0;14.39999962;0
157500;0;14.39999962;0
158400;0;14.39999962;0
159300;0;13.39999962;0
160200;0;12.39999962;0
161100;0;11.39999962;0
162000;0;11.39999962;0
162900;0;11.39999962;0
163800;0;10.39999962;0
164700;0;10.39999962;0
165600;0;10.39999962;0
166500;0;10.39999962;0
167400;0;9.399999619;0
168300;0;9.399999619;0
169200;0;9.399999619;0
170100;0;9.399999619;0
171000;0;9.399999619;0
171900;0;8.399999619;0
172800;0;8.399999619;0
173700;0;8.399999619;0
174600;0;8.399999619;0
175500;0;8.399999619;0
176400;0;8.399999619;0
177300;0;8.399999619;0
178200;0;8.399999619;0
179100;0;8.399999619;0
180000;0;8.399999619;0
180900;0;7.399999619;0
181800;0;7.399999619;0
182700;0;7.399999619;0
183600;0;7.399999619;0
184500;0;7.399999619;0
185400;0;7.399999619;0
186300;0;7.399999619;0
187200;14;7.399999619;0
188100;28;7.399999619;0
189000;45;8.399999619;0
189900;56;9.399999619;0
190800;78.5;10.39999962;0
191700;101.0400009;10.39999962;0
192600;123.5199966;10.39999962;0
193500;140;11.39999962;0
194400;157.0399933;12.39999962;0
195300;191.0399933;12.39999962;0
196200;207.5199966;13.39999962;0
197100;230.0800018;13.39999962;0
198000;269.0399933;14.39999962;0
198900;296.9599915;15.39999962;0
199800;350.0800018;15.39999962;0
200700;392.9599915;16.39999962;0
201600;434.4000092;16.39999962;0
202500;488;16.39999962;0
203400;493.1199951;17.40000153;0
204300;544;17.90000153;0
205200;544;17.90000153;30
206100;577.9199829;17.90000153;30
207000;583.039978;18.40000153;30
207900;606.0800171;18.40000153;30
208800;596.9599915;18.40000153;30
209700;616.960022;18.40000153;30
210600;639.039978;18.40000153;30
211500;622.0800171;18.40000153;30
212400;647.519989;19.40000153;30
213300;649.9199829;19.40000153;30
214200;656;18.40000153;30
215100;645.1199951;18.40000153;30
216000;622.0800171;18.40000153;30
216900;633.9199829;18.40000153;30
217800;608.480011;18.40000153;30
218700;608.480011;17.40000153;30
219600;575.039978;17.40000153;30
220500;554.8800049;17.40000153;30
221400;532.480011;17.40000153;30
222300;516.1599731;17.40000153;30
223200;482.0800018;17.40000153;30
224100;454.0799866;17.40000153;30
225000;440;17.40000153;30
225900;398.0799866;16.39999962;30
226800;350.5599976;16.39999962;30
227700;324.9599915;16.39999962;30
228600;286.0799866;16.39999962;30
229500;264;16.39999962;30
230400;241.5199966;16.39999962;30
231300;212.9600067;16.39999962;30
232200;190.4800034;16.39999962;30
233100;163.0399933;15.39999962;30
234000;137.5199966;15.39999962;30
234900;112;15.39999962;30
235800;87.02000046;14.39999962;30
236700;67;14.39999962;30
237600;39.5;13.39999962;0
238500;39.5;13.39999962;0
239400;19.5;13.39999962;0
240300;0;12.39999962;0
241200;0;12.39999962;0
242100;0;12.39999962;0
243000;0;11.39999962;0
243900;0;11.39999962;0
244800;0;11.39999962;0
245700;0;10.39999962;0
246600;0;10.39999962;0
247500;0;10.39999962;0
248400;0;10.39999962;0
249300;0;10.39999962;0
250200;0;10.39999962;0
251100;0;9.399999619;0
252000;0;9.399999619;0
252900;0;9.399999619;0
253800;0;9.399999619;0
254700;0;9.399999619;0
255600;0;8.399999619;0
256500;0;8.399999619;0
257400;0;8.399999619;0
258300;0;8.399999619;0
259200;0;8.399999619;0
260100;0;8.399999619;0
261000;0;8.399999619;0
261900;0;8.399999619;0
262800;0;7.399999619;0
263700;0;7.399999619;0
264600;0;7.399999619;0
265500;0;7.399999619;0
266400;0;7.399999619;0
267300;0;7.399999619;0
268200;0;7.399999619;0
269100;0;7.399999619;0
270000;0;7.399999619;0
270900;0;7.399999619;0
271800;0;7.399999619;0
272700;0;7.399999619;0
273600;34;7.399999619;0
274500;17;8.399999619;0
275400;34;9.399999619;0
276300;67;10.89999962;0
277200;89.52000046;10.89999962;0
278100;107.0400009;12.39999962;0
279000;123.5199966;12.39999962;0
279900;146;13.39999962;0
280800;165.5599976;14.94999981;0
281700;196;14.94999981;0
282600;218.5599976;17;0
283500;264;18.5;0
284400;283.0399933;18;0
285300;314.0799866;18;0
286200;367.5200043;18;0
287100;425.9200134;18;0
288000;456.9600067;20;0
288900;498.8800049;20;0
289800;530.0800018;19.5;0
290700;566.0800171;19.5;0
291600;577.5999756;18.5;30
292500;606.0800171;19.5;30
293400;608.480011;19.5;30
294300;633.9199829;19.5;30
295200;645.1199951;19.5;30
296100;656;19.5;30
297000;678.7200012;19.5;30
297900;679.039978;20.5;30
298800;672.9599915;19.5;30
299700;666.8800049;18.5;30
300600;670.3999939;17.5;30
301500;649.9199829;17.5;30
302400;672.9599915;17.5;30
303300;672.9599915;16.5;30
304200;650.5599976;16.5;30
305100;639.039978;16.5;30
306000;605.4400024;16.5;30
306900;572.1599731;16.5;30
307800;563.5200195;16.5;30
308700;537.9199829;16.5;30
309600;510.5599823;16.5;30
310500;481.9200134;16.5;30
311400;445.9199982;16.5;30
312300;421.1199951;16.5;30
313200;369.9199982;16.5;30
314100;336;16.5;30
315000;308;16.5;30
315900;264;16.5;30
316800;249.5199966;16.5;30
317700;224;15.5;30
318600;207.5200043;15.5;30
319500;174.0800018;15.5;30
320400;145.5199966;15.5;30
321300;129.0399933;15.5;30
322200;95.52000046;14.5;30
323100;73;14.5;30
324000;56;14.5;0
324900;45;13.5;0
325800;22.5;13.5;0
326700;0;12.5;0
327600;3;12.5;0
328500;3;12.5;0
329400;3;11.5;0
330300;3;11.5;0
331200;3;11.5;0
332100;3;10.5;0
333000;3;10.5;0
333900;3;10.5;0
334800;3;10.5;0
335700;3;9.5;0
336600;3;9.5;0
337500;3;9.5;0
338400;3;9.5;0
339300;3;9.5;0
340200;3;8.5;0
341100;3;8.5;0
342000;3;8.5;0
342900;3;8.5;0
343800;3;8.5;0
344700;3;8.5;0
345600;3;8.5;0
346500;3;8.5;0
347400;3;7.5;0
348300;3;7.5;0
349200;3;7.5;0
350100;3;7.5;0
351000;3;7.5;0
351900;3;7.5;0
352800;3;6.5;0
353700;3;6.5;0
354600;3;6.5;0
355500;3;6.5;0
356400;3;6.5;0
357300;3;6.5;0
358200;3;6.5;0
359100;3;6.5;0
360000;6;7.5;0
360900;28;7.5;0
361800;42;8.5;0
362700;79;9.5;0
363600;90;9.5;0
364500;84;10.5;0
365400;135.0399933;10.5;0
366300;140;11.5;0
367200;148.5199966;11.5;0
368100;196;11.5;0
369000;204.4800034;12.5;0
369900;275.0400085;12.5;0
370800;243.9999924;13.5;0
371700;324.9599915;13.5;0
372600;260.9599991;13.5;0
373500;359.0400085;14.5;0
374400;437.1199951;14.5;0
375300;381.1199951;14.5;0
376200;358.5599976;14.5;0
377100;320;15.60000038;0
378000;557.9200134;16.60000038;30
378900;557.9200134;16.60000038;30
379800;622.5599976;16.60000038;30
380700;606.0800171;16.60000038;30
381600;628;16.60000038;30
382500;628;16.60000038;30
383400;628;17.70000076;30
384300;661.7600098;17.70000076;30
385200;586.0799866;17.70000076;30
386100;645.1199951;17.70000076;30
387000;661.6000061;16.70000076;30
387900;656;16.70000076;30
388800;631.039978;15.70000076;30
389700;610.8800049;15.70000076;30
390600;614.0800171;15.70000076;30
391500;460.1600037;15.70000076;30
392400;588.4799805;15.70000076;30
393300;572.1599731;15.70000076;30
394200;546.5599976;15.70000076;30
395100;546.5599976;15.70000076;30
396000;496;15.70000076;30
396900;471.0400085;15.70000076;30
397800;451.0399933;15.70000076;30
398700;404.1600037;15.70000076;30
399600;367.0399933;15.70000076;30
400500;264;15.70000076;30
401400;174;15.70000076;30
402300;123.0400009;15.70000076;30
403200;70;15.70000076;30
404100;70;14.70000076;30
405000;50.5;14.70000076;30
405900;0;13.20000076;30
406800;0;11.20000076;30
407700;0;11.20000076;30
408600;0;11.20000076;30
409500;0;11.70000076;30
410400;0;11.70000076;0
411300;0;11.70000076;0
412200;0;11.70000076;0
413100;0;10.70000076;0
414000;0;10.70000076;0
414900;0;9.700000763;0
415800;0;10.70000076;0
416700;0;11.70000076;0
417600;0;10.70000076;0
418500;0;10.70000076;0
419400;0;9.700000763;0
420300;0;8.700000763;0
421200;0;8.700000763;0
422100;0;8.700000763;0
423000;0;8.700000763;0
